#{"t_start": 1774563021.1454914, "env_id": "None"}
r,l,t
2300.352924,300,25900.129022
4446.668355,300,25941.065628
4111.603303,300,25982.54064
4439.167978,300,26024.670196
4411.610778,300,26067.294917
4329.856643,290,26110.426176
2265.060565,300,26149.73591
4438.699862,300,26191.315499
2869.495156,300,26231.133931
2702.555014,300,26270.623363
4104.838491,300,26312.906887
4321.133496,290,26355.11018
2696.97233,300,26394.314371
4413.967641,300,26438.030455
4100.795892,300,26480.019766
4127.093116,300,26522.035989
5015.013218,601,26601.888731
2745.609032,300,26641.949261
4125.870136,300,26683.974279
2855.143525,300,26723.706156
4419.360924,300,26765.536201
4133.053588,300,26807.615894
4134.656184,300,26850.366839
4320.235147,290,26894.079065
4322.315342,290,26936.993631
4141.252255,300,26977.554296
4125.105169,300,27019.317546
19892.818753,1370,27179.236686
5077.368422,601,27216.016428
19895.123149,1370,27312.922336
4123.340761,300,27333.304592
4395.86159,300,27355.193619
3561.560475,300,27372.190679
4402.005481,300,27393.983313
4031.767596,300,27410.873297
4146.535169,300,27430.776357
19916.634048,1370,27526.888898
4125.65887,300,27547.6136
9766.602338,766,27590.728007
4325.97162,290,27613.503801
3558.20746,300,27630.333152
2979.053098,300,27648.54538
4007.399721,300,27665.967274
4118.654324,300,27686.615746
2761.758374,226,27699.300134
4453.752635,300,27719.195359
19866.926128,1370,27814.973406
4323.865312,290,27836.878083
19870.72787,1370,27933.997286
4114.751593,300,27954.614093
4395.354709,300,27976.545932
4058.691267,300,27993.791948
2364.332933,300,28011.871716
4025.018604,300,28028.432513
4322.507601,290,28050.289296
2939.019236,300,28068.303431
4112.376275,300,28088.22665
2764.675347,226,28101.163611
5609.129779,601,28136.880538
2407.556041,300,28155.63499
4394.59425,300,28177.652037
9751.401938,766,28220.412414
4032.705586,300,28237.738925
5684.500266,601,28273.78315
4061.135464,300,28291.080256
9757.615124,766,28334.366837
4321.381762,290,28356.475469
2665.44651,300,28374.123124
3547.331601,300,28391.073326
9759.069035,766,28435.095899
2460.997249,300,28453.36734
4322.755772,290,28476.001631
3598.461116,300,28493.002145
2585.890135,300,28511.358655
4453.199474,300,28531.386322
4403.030643,300,28552.844731
4322.022558,290,28574.994988
4408.880225,300,28596.97932
2900.037893,300,28614.392225
4315.340547,290,28636.763989
3580.995329,300,28653.797744
3575.428878,300,28670.884572
4140.052051,300,28691.792884
5609.312472,601,28728.045593
9759.965299,766,28771.061113
19865.435257,1370,28867.582577
4406.86743,300,28889.044952
2764.475071,226,28901.79346
9749.773611,766,28944.598638
4447.740533,300,28964.708218
3542.523083,300,28981.68859
4330.344114,290,29003.579446
9781.589799,766,29046.662443
4126.150605,300,29066.478501
4130.417342,300,29087.133546
2845.248242,300,29105.514432
2617.983016,300,29124.169844
2935.728422,300,29141.898179
4324.39595,290,29163.975721
4321.893032,290,29186.106871
4131.10462,300,29206.525026
4319.456383,290,29229.066599
4319.978123,290,29251.164592
3552.385064,300,29268.258656
5691.855327,601,29304.706585
4312.845245,290,29326.569041
3565.863821,300,29343.647043
4446.962433,300,29363.848899
4062.594291,300,29381.376389
2908.094115,300,29399.349778
4446.216581,300,29419.910538
19910.536715,1370,29515.339604
5596.248834,601,29551.273103
4123.226591,300,29570.910714
4400.918168,300,29592.777432
9823.356558,766,29635.275854
2576.578992,300,29653.705923
4328.365957,290,29675.916404
2789.962734,226,29688.343144
19917.704313,1370,29784.488501
4447.973361,300,29804.962917
19911.031602,1370,29900.760293
2787.861997,226,29914.001442
19903.769539,1370,30011.04052
4400.573645,300,30033.313213
2689.855351,300,30051.79242
2619.981309,300,30070.006788
2481.780122,300,30088.451229
2943.817758,300,30106.262314
2510.859068,300,30124.523831
5673.226168,601,30160.751834
2762.587549,226,30173.496404
3573.770274,300,30190.536699
4452.197681,300,30210.677465
4062.937144,300,30227.815865
4127.994964,300,30247.882278
4446.377345,300,30267.681365
2925.585424,300,30285.136473
2920.034561,300,30302.758035
4440.270009,300,30323.072701
2868.478256,300,30340.814335
4122.169972,300,30360.751009
2759.236438,226,30373.597067
4062.931616,300,30390.67769
4449.016788,300,30410.237283
4127.066936,300,30430.139469
3549.597485,300,30446.973462
4447.298584,300,30466.966794
4112.789836,300,30487.445963
4064.511287,300,30504.546945
4108.374347,300,30524.483955
5651.451214,601,30560.87478
3527.282736,300,30577.782839
3573.356664,300,30593.79692
3581.280523,300,30610.72911
4415.576706,300,30632.371954
19932.084017,1370,30727.483567
4129.967301,300,30747.173796
2770.177917,226,30760.081358
2652.152286,300,30778.495223
4128.430201,300,30797.703129
19923.65154,1370,30893.760231
4126.034081,300,30913.957778
19907.11646,1370,31009.397665
